#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
109,Ildemaro Vargas,545121,13324,13324,9562,*0433b*,WSH,2B/3B,2B/SS/ 3B/OF,Vargas,Ildemaro,Vargas,Ildemaro
110,Jake Lamb,571875,13329,13329,8862,*02mzn*,PIT,1B,1B,Lamb,Jake,Lamb,Jake
111,Omar Narvaez,553882,13338,13338,9400,*043f8*,HOU,C,C,Narvaez,Omar,Narváez,Omar
112,Adrian Sampson,592716,13339,13339,9382,*02c2m*,TEX,SP,SP,Sampson,Adrian,Sampson,Adrian
113,Luis Cessa,570666,13345,13345,9200,*03am2*,PIT,RP,RP,Cessa,Luis,Cessa,Luis
114,Luke Maile,571912,13355,13355,9143,*02n1q*,FA,C,C,Maile,Luke,,
115,Steven Matz,571927,13361,13361,8689,*02h8d*,STL,SP,SP,Matz,Steven,Matz,Steven
116,Erik Gonzalez,570481,13369,13369,9206,*03bnk*,CIN,SS,SS,Gonzalez,Erik,González,Erik
117,Dylan Floro,571670,13394,13394,9401,*02hhd*,FA,RP,RP,Floro,Dylan,,
118,Wynton Bernard,592144,13408,13408,9216,*03eq5*,MIN,OF,OF,Bernard,Wynton,Bernard,Wynton
119,Christian Walker,572233,13419,13419,8924,*02mw3*,FA,1B,1B,Walker,Christian,,
120,Marcus Stroman,573186,13431,13431,8721,*02hg4*,NYY,SP,SP,Stroman,Marcus,Stroman,Marcus
121,Pierce Johnson,572955,13435,13435,8645,*02hdy*,ATL,RP,RP,Johnson,Pierce,Johnson,Pierce
122,Taylor Rogers,573124,13449,13449,9225,*02n3l*,SF,RP,RP,Rogers,Taylor,Rogers,Taylor
123,Connor Sadzeck,592712,13483,13483,9241,,PIT,RP,RP,Sadzeck,Connor,Sadzeck,Connor
124,Tom Murphy,608596,13499,13499,8657,*02t8m*,SF,C,C,Murphy,Tom,Murphy,Tom
125,Jose Ramirez,608070,13510,13510,8594,*01ub6*,CLE,3B,3B,Ramirez,Jose,Ramírez,José
126,Matt Bowman,621199,13528,13528,9273,*02n53*,BAL,RP,RP,Bowman,Matt,Bowman,Matt
127,Steven Okert,595345,13580,13580,9290,*02myt*,FA,RP,RP,Okert,Steven,,
128,Jesse Winker,608385,13590,13590,8647,*02mwg*,FA,OF,OF,Winker,Jesse,,
129,Robert Stephenson,596112,13594,13594,8650,*02bq7*,LAA,RP,RP,Stephenson,Robert,Stephenson,Robert
130,Patrick Wisdom,621550,13602,13602,9805,*02mws*,CHC,1B/3B,1B/3B/ OF,Wisdom,Patrick,Wisdom,Patrick
131,Carl Edwards Jr.,605218,13607,13607,9329,*02of2*,SD,RP,RP,Edwards Jr.,Carl,Edwards Jr.,Carl
132,Mookie Betts,605141,13611,13611,8638,*02btf*,LAD,2B/SS/ OF,2B/SS/ OF,Betts,Mookie,Betts,Mookie
133,Ketel Marte,606466,13613,13613,9112,*0326s*,ARI,2B,2B,Marte,Ketel,Marte,Ketel
134,Carson Kelly,608348,13620,13620,9452,*02mxf*,FA,C,C,Kelly,Carson,,
135,Jeimer Candelario,600869,13621,13621,9264,*027fx*,CIN,1B/3B,1B/3B,Candelario,Jeimer,Candelario,Jeimer
136,Corey Seager,608369,13624,13624,8668,*02mw6*,TEX,SS,SS,Seager,Corey,Seager,Corey
137,Sal Romano,607219,13690,13690,9256,,BOS,RP,RP,Romano,Sal,Romano,Sal
138,Kyle Barraclough,607457,13713,13713,9121,,TEX,RP,RP,Barraclough,Kyle,Barraclough,Kyle
139,Chris Taylor,621035,13757,13757,8852,*02u47*,LAD,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Taylor,Chris,Taylor,Chris
140,Chris Stratton,608717,13761,13761,9292,*02mw1*,KC,RP,RP,Stratton,Chris,Stratton,Chris
141,JT Chargois,608638,13767,13767,9221,,SEA,RP,RP,Chargois,JT,Chargois,JT
142,Travis Jankowski,608671,13768,13768,9125,*02j2v*,FA,OF,OF,Jankowski,Travis,,
143,Rob Refsnyder,608701,13770,13770,8929,*02mzf*,BOS,OF,OF,Refsnyder,Rob,Refsnyder,Rob
144,Zach Eflin,621107,13774,13774,9379,*02mwq*,BAL,SP,SP,Eflin,Zach,Eflin,Zach
145,Matt Strahm,621381,13799,13799,9205,*02nax*,PHI,RP,RP,Strahm,Matt,Strahm,Matt
146,Kevin Plawecki,608700,13807,13807,8680,,SD,C,C,Plawecki,Kevin,Plawecki,Kevin
147,Matt Duffy,622110,13836,13836,8856,*02c5y*,FA,2B/3B,1B/2B/ 3B,Duffy,Matt,,
148,Tyler Heineman,623168,13897,13897,10691,*02n1c*,TOR,C,C,Heineman,Tyler,Heineman,Tyler
149,Brent Suter,608718,13942,13942,9436,*03cav*,CIN,RP,RP,Suter,Brent,Suter,Brent
150,Michael Wacha,608379,14078,14078,8426,*02iug*,KC,SP,SP,Wacha,Michael,Wacha,Michael
151,Kevin Gausman,592332,14107,14107,8427,*02hi7*,TOR,SP,SP,Gausman,Kevin,Gausman,Kevin
152,Albert Almora Jr.,546991,14109,14109,8639,,ARI,OF,OF,Almora Jr.,Albert,Almora Jr.,Albert
153,Lance McCullers Jr.,621121,14120,14120,8659,*026l1*,HOU,SP,SP,McCullers Jr.,Lance,McCullers Jr.,Lance
154,Joey Gallo,608336,14128,14128,8711,*02i3v*,FA,1B/OF,1B/OF,Gallo,Joey,,
155,Byron Buxton,621439,14161,14161,8674,*02i2k*,MIN,OF,OF,Buxton,Byron,Buxton,Byron
156,Carlos Correa,621043,14162,14162,8656,*02i2q*,MIN,SS,SS,Correa,Carlos,Correa,Carlos
157,Jose Berrios,621244,14168,14168,8951,*02mwk*,TOR,SP,SP,Berrios,Jose,Berríos,José
158,Kyle Zimmer,622092,14169,14169,8429,,CIN,SP,SP,Zimmer,Kyle,Zimmer,Kyle
159,Josh Hader,623352,14212,14212,9492,*02n96*,HOU,RP,RP,Hader,Josh,Hader,Josh
160,Jorge Soler,624585,14221,14221,8331,*02i11*,LAA,OF,OF,Soler,Jorge,Soler,Jorge
161,Ray Black,605143,14244,,9286,*02bvi*,MIL,RP,RP,Black,Ray,Black,Ray
162,Mitch Haniger,571745,14274,14274,9431,*02mwj*,SEA,OF,OF,Haniger,Mitch,Haniger,Mitch
163,Wandy Peralta,593974,14295,14295,9448,*047sh*,SD,RP,RP,Peralta,Wandy,Peralta,Wandy
164,Wilmer Difo,594694,14320,14320,9047,*03c7r*,CHW,2B,2B/3B/ OF,Difo,Wilmer,Difo,Wilmer
165,Anthony Alford,546990,14329,,9509,,CIN,OF,OF,Alford,Anthony,Alford,Anthony
166,Matt Olson,621566,14344,14344,8690,*02mwm*,ATL,1B,1B,Olson,Matt,Olson,Matt
167,Tyler Glasnow,607192,14374,14374,8700,*02btx*,LAD,SP,SP,Glasnow,Tyler,Glasnow,Tyler
168,Harold Ramirez,623912,14387,14387,9260,*02i3m*,ATL,DH,OF,Ramirez,Harold,Ramírez,Harold
169,Joe Hudson,621529,14412,14412,10105,,NYM,C,C,Hudson,Joe,Hudson,Joe
170,Jake Cave,595909,14477,14477,9251,*02bul*,FA,OF,1B/OF,Cave,Jake,,
171,Edwin Diaz,621242,14710,14710,9376,*02my5*,NYM,RP,RP,Diaz,Edwin,Díaz,Edwin
172,Manuel Margot,622534,14712,14712,8936,*02i3d*,FA,OF,OF,Margot,Manuel,,
173,Paul Blackburn,621112,14739,14739,9578,*02mwd*,NYM,SP,SP,Blackburn,Paul,Blackburn,Paul
174,Kyle Farmer,571657,14813,14813,9537,*0312h*,FA,2B/SS/ 3B,2B/SS/ 3B,Farmer,Kyle,,
175,Joe Mantiply,573009,14857,14857,9450,*03mle*,ARI,RP,RP,Mantiply,Joe,Mantiply,Joe
176,Sam Moll,594580,14874,14874,9498,*0311r*,CIN,RP,RP,Moll,Sam,Moll,Sam
177,Jon Gray,592351,14916,14916,8653,*02bxv*,TEX,SP,SP,Gray,Jon,Gray,Jon
178,Jack Reinheimer,595373,14938,14938,9561,,CHC,SS,SS,Reinheimer,Jack,Reinheimer,Jack
179,Corey Knebel,608349,15010,15010,8795,*0310k*,LAA,RP,RP,Knebel,Corey,Knebel,Corey
180,German Marquez,608566,15038,15038,9295,*03amq*,COL,SP,SP,Marquez,German,Márquez,Germán
181,Austin Voth,608723,15047,15047,9484,*0316l*,SEA,RP,RP,Voth,Austin,Voth,Austin
182,Dom Nunez,624513,15055,15055,10673,*03125*,CLE,DH,C,Nunez,Dom,Nuñez,Dom
183,Rob Zastryzny,642239,15094,15094,9435,,CHC,RP,RP,Zastryzny,Rob,Zastryzny,Rob
184,Ben Heller,621294,15100,15100,9426,*031gh*,PIT,RP,RP,Heller,Ben,Heller,Ben
185,Ryan McMahon,641857,15112,15112,9726,*0310n*,COL,2B/3B,2B/3B,McMahon,Ryan,McMahon,Ryan
186,Tyler Danish,641501,15126,15126,9377,,COL,RP,RP,Danish,Tyler,Danish,Tyler
